City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
190,piacabucu,BR,-10.4056,-36.4344,83.55,62,20,10.6,few clouds,0.0,0.0
191,mayumba,GA,-3.432,10.6554,81.91,77,32,8.84,light rain,0.12,0.0
192,saldanha,ZA,-33.0117,17.9442,60.94,54,58,6.35,broken clouds,0.0,0.0
193,sola,VU,-13.8833,167.55,80.37,75,37,21.34,scattered clouds,0.0,0.0
194,isangel,VU,-19.55,169.2667,74.7,66,0,13.94,clear sky,0.0,0.0
195,manado,ID,1.487,124.8455,81.37,94,40,2.3,scattered clouds,0.0,0.0
196,iquitos,PE,-3.7481,-73.2472,77.04,100,75,1.14,broken clouds,0.0,0.0
197,sistranda,NO,63.7256,8.834,46.36,68,96,19.75,overcast clouds,0.0,0.0
198,gayny,RU,60.3071,54.3241,61.14,38,87,9.51,overcast clouds,0.0,0.0
199,moncton,CA,46.1159,-64.8019,49.05,36,0,4.65,clear sky,0.0,0.0
200,saskylakh,RU,71.9167,114.0833,15.64,90,97,14.5,overcast clouds,0.0,0.0
201,tucuman,AR,-26.8241,-65.2226,62.6,82,75,4.61,light rain,0.17,0.0
202,tulum,MX,20.2167,-87.4667,82.4,77,15,8.46,few clouds,0.0,0.0
203,geraldton,AU,-28.7667,114.6,64.81,82,40,5.75,scattered clouds,0.0,0.0
204,pemangkat,ID,1.1667,108.9667,80.76,83,100,5.61,overcast clouds,0.0,0.0
205,gornozavodsk,RU,58.3758,58.3211,59.67,42,77,8.5,broken clouds,0.0,0.0
206,cherskiy,RU,68.75,161.3,9.12,96,98,4.94,overcast clouds,0.0,0.0
207,isabela,PH,6.7085,121.9711,81.82,85,99,0.94,overcast clouds,0.0,0.0
208,nuuk,GL,64.1835,-51.7216,32.61,74,0,10.36,clear sky,0.0,0.0
209,porto novo,BJ,6.4965,2.6036,88.21,63,94,10.69,overcast clouds,0.0,0.0
210,farmington,US,36.7281,-108.2187,61.48,29,0,8.05,clear sky,0.0,0.0
211,miquelon,PM,47.0975,-56.3814,46.4,66,0,10.04,clear sky,0.0,0.0
212,lebu,CL,-37.6167,-73.65,55.22,94,100,8.16,light rain,0.15,0.0
213,buckeye,US,33.3703,-112.5838,74.8,34,1,4.5,clear sky,0.0,0.0
