City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,mulchen,CL,48.06,broken clouds,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
515,taltal,CL,62.49,clear sky,-25.4,-70.4833,Residencial Karime
516,trindade,BR,78.55,broken clouds,-16.6494,-49.4889,Pousada Central
519,monrovia,LR,78.4,overcast clouds,6.3005,-10.7969,Sunset Inn
520,buraydah,SA,87.94,clear sky,26.326,43.975,Mövenpick Qassim
521,savannah bight,HN,81.5,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
522,bahia blanca,AR,64.98,clear sky,-38.7196,-62.2724,Hotel Argos
523,puerto narino,CO,72.27,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
524,markova,UA,61.83,overcast clouds,48.6758,24.4138,Vas.VOM
525,novyy urengoy,RU,32.52,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
526,post falls,US,36.88,broken clouds,47.718,-116.9516,Red Lion Hotel Templin's on the River
527,dromolaxia,CY,78.04,few clouds,34.8761,33.586,Sea N Lake View Hotel Apartments
528,ereymentau,KZ,55.53,scattered clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
529,monteagudo,BO,64.87,scattered clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
531,goldsboro,US,52.18,overcast clouds,35.3849,-77.9928,Hampton Inn Goldsboro
532,vaasa,FI,48.29,clear sky,63.096,21.6158,Hotel Astor
533,preobrazheniye,RU,44.29,clear sky,42.9019,133.9064,Campsite Orlan
536,kapuskasing,CA,50.99,scattered clouds,49.4169,-82.4331,Park Inn Motel
538,hatfield,GB,67.28,clear sky,51.7634,-0.2242,Mercure Hatfield Oak Hotel
